tag_code,mark_file_name,site_name,first_time_value,last_time_value,first_antenna_group_name,last_antenna_group_name,release_date_mmddyyyy,species_code,species_name,run_code,run_name,rear_type_code,rear_type_name,release_site_name,mark_date_mmddyyyy,mark_site_name,mark_site_code_value,mark_year_yyyy,site_code_value,srr_code,srr_name,count,mark_month,brood_yr,spawn_yr,TRT
3D9.1C2D6B3A1F,BDL16040.W13,SC1 - Lower SF Clearwater R at rkm 1,2019-02-05T13:42:00Z,2019-03-06T18:43:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6B7C3F,BDL16040.W12,SC1 - Lower SF Clearwater R at rkm 1,2018-11-02T10:29:00Z,2019-03-17T00:45:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D6D65D8,BDL16040.W43,SC1 - Lower SF Clearwater R at rkm 1,2018-01-20T11:21:00Z,2018-01-20T11:21:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2018,CRSFC-s
3D9.1C2D6D65D8,BDL16040.W43,SC2 - Lower SF Clearwater R at rkm 2,2018-01-20T14:35:00Z,2018-01-20T14:36:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2018,CRSFC-s
3D9.1C2D7201FD,BDL16292.W24,SC1 - Lower SF Clearwater R at rkm 1,2019-02-23T02:21:00Z,2019-02-23T02:21:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2017,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-10-18,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,10,2016,2019,CRSFC-s
3D9.1C2D7201FD,BDL16292.W24,SC2 - Lower SF Clearwater R at rkm 2,2019-02-23T19:34:00Z,2019-02-23T19:38:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/13/2017,3,Steelhead,2,Summer,H,Hatchery Reared,CLWRSF - South Fork Clearwater River,2016-10-18,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,10,2016,2019,CRSFC-s
3D9.1C2D720A4F,BDL16040.W32,SC1 - Lower SF Clearwater R at rkm 1,2019-03-18T22:19:00Z,2019-03-18T22:19:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D720A4F,BDL16040.W32,SC2 - Lower SF Clearwater R at rkm 2,2019-03-19T13:39:00Z,2019-03-19T13:39:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D7259CA,BDL16040.W22,SC1 - Lower SF Clearwater R at rkm 1,2019-02-16T18:23:00Z,2019-02-16T18:23:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D728753,BDL16040.W33,SC1 - Lower SF Clearwater R at rkm 1,2018-11-03T15:55:00Z,2019-03-19T19:23:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D728753,BDL16040.W33,SC2 - Lower SF Clearwater R at rkm 2,2018-11-03T18:24:00Z,2019-03-19T22:18:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D7290AD,BDL16040.W22,SC1 - Lower SF Clearwater R at rkm 1,2018-11-04T10:30:00Z,2018-11-04T10:30:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/4/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D729137,BDL16040.W33,SC1 - Lower SF Clearwater R at rkm 1,2019-03-08T20:41:00Z,2019-03-08T20:52:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC1,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3D9.1C2D729137,BDL16040.W33,SC2 - Lower SF Clearwater R at rkm 2,2019-03-09T00:55:00Z,2019-03-09T00:55:00Z,INSTREAM ARRAY,INSTREAM ARRAY,4/5/2016,3,Steelhead,2,Summer,H,Hatchery Reared,NEWSOC - Newsome Creek,2016-02-09,CLWH - Clearwater Hatchery,CLWH,2016,SC2,32H,Hat. Summer Steelhead,1,2,2015,2019,CRSFC-s
3DA.1A19AEFA08,BDL14309.H18,STL - Sawtooth Hatchery Adult Trap,2017-04-12T18:23:00Z,2017-04-12T18:48:00Z,KEYWAY 1 - OVERFLOW,KEYWAY 3 - OVERFLOW,4/8/2015,3,Steelhead,2,Summer,H,Hatchery Reared,SAWT - Sawtooth Hatchery,2014-11-05,HAGE - Hagerman NFH,HAGE,2014,STL,32H,Hat. Summer Steelhead,1,11,2014,2017,SRUMA-s
