SiteID,SiteType,SiteName,Node,ESU_DPS,MPG,POP_NAME,TRT
HYC,INT,Hayden Creek In-stream Array,HYCB0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
HYC,INT,Hayden Creek In-stream Array,HYCA0,Snake River Spring/Summer-run Chinook Salmon ESU,Upper Salmon River,Lemhi River,SRLEM
IML,INT,Imnaha River Weir Adult Ladder,IMLA0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IML,INT,Imnaha River Weir Adult Ladder,IMLB0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IR1,INT,Lower Imnaha River ISA @ km 7,IR1,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,NA,NA
IR2,INT,Lower Imnaha River ISA @ km 10,IR2,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,NA,NA
IR3,INT,Upper Imnaha River ISA @ km 41,IR3A0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IR3,INT,Upper Imnaha River ISA @ km 41,IR3B0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IR4,INT,Imnaha Weir Downstream Array,IR4A0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IR4,INT,Imnaha Weir Downstream Array,IR4B0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IR5,INT,Imnaha Weir Upstream Array,IR5A0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
IR5,INT,Imnaha Weir Upstream Array,IR5B0,Snake River Spring/Summer-run Chinook Salmon ESU,Grande Ronde / Imnaha,Imnaha River mainstem,IRMAI
JOC,INT,Joseph Creek ISA @ km 3,JOCA0,NA,NA,NA,NA
JOC,INT,Joseph Creek ISA @ km 3,JOCB0,NA,NA,NA,NA
JUL,INT,Potlatch River near Juliaetta,JUL,Snake River Spring/Summer-run Chinook Salmon ESU,Dry Clearwater,Polatch River,CRPOT
